,Rent,House ID,Square meters house,Number of Bedrooms,Location,Description,rent_per_sqrmeter
124,500,219790607,89,2,Osios Loukas (Athens)," 23/12/2020 - Athens, Patisia-Osios Loukas, Apartment For Rent, 89 sq.m., Property Status: Renovated, Floor: 1rst, 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), Heatin ...                        ",5.617977528
125,450,2110483720,65,1,Osios Loukas (Athens)," 23/12/2020 - Athens, Patisia-Osios Loukas, Apartment For Rent, 65 sq.m., Property Status: Renovated, Floor: 1rst, 1 Bedrooms 1 Kitchen(s), 1 Bathroom(s), Buildi ...                        ",6.923076923
126,400,2110104844,55,1,Metaxourgeio (Athens)," 23/12/2020 - Athens, Metaxourgeio, Apartment For Rent, 55 sq.m., Property Status: Renovated, Floor: 2nd, 1 Bedrooms 1 Kitchen(s), 1 Bathroom(s), Building Year:  ...                        ",7.272727273
127,520,219527771,82,2,Ag. Meletiou - Viktorias Sq. - Marni (Athens), 23/12/2020 -  ,6.341463415
128,900,2110298770,142,3,Pedion Areos (Athens)," 23/12/2020 - Pedion Areos: Unique apartment of 142 sqm, fully renovated and furnished, 2nd floor. It consists of large reception areas, 3 bedrooms, dining room, ...                        ",6.338028169
129,800,2110330563,95,3,Attiki (Athens)," 23/12/2020 - Athens, Attiki, Penthouse For Rent, 95 sq.m., Property Status: Renovated, Floor: 6th, 3 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, Heating: Autono ...                        ",8.421052632
130,450,2110522014,55,1,Pagkrati (Athens)," 23/12/2020 - Athens, Pagrati, Apartment For Rent, 55 sq.m., Property Status: Renovated, Floor: 1rst, 1 Bedrooms 1 Kitchen(s), 1 Bathroom(s), Heating: Central Pe ...                        ",8.181818182
131,450,2110521935,72,2,Neos Kosmos (Athens)," 23/12/2020 - Athens, Neos Kosmos, Apartment For Rent, 72 sq.m., Floor: Ground floor, 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), Heating: Central, Building Year: 19 ...                        ",6.25
132,675,2110545804,147,3,Exarcheia (Athens)," 23/12/2020 - Athens, Exarcheia, Apartment For Rent, 147 sq.m., Property Status: Good, Floor: 1rst, 3 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, Heating: Autono ...                        ",4.591836735
133,350,2110544272,56,1,Exarcheia (Athens)," 23/12/2020 - Athens, Exarcheia, Apartment For Rent, 56 sq.m., Property Status: Good, Floor: Ground floor, 1 Bedrooms 1 Kitchen(s), 1 Bathroom(s), View: Good, Bu ...                        ",6.25
134,1400,2110342012,47,1,Akropoli (Athens)," 23/12/2020 - Athens, Acropolis, Apartment For Rent, 47 sq.m., Property Status: Good, Floor: 3rd, 1 Bedrooms 1 Kitchen(s), 1 Bathroom(s), 1 WC, Heating: Autonomo ...                        ",29.78723404
135,550,219790608,98,2,Agios Nikolaos (Athens)," 23/12/2020 - Athens, Agios Nikolaos, Apartment For Rent, 98 sq.m., Floor: 3rd, 2 Bedrooms 1 Kitchen(s), 1 Bathroom(s), Building Year: 1962, Features: Price Nego ...                        ",5.612244898
136,1100,217165871,110,2,Kallimarmaro (Athens), 23/12/2020 - 5th floor flat of 110 sqm in corner building closeby the marble stadium. Ideally located across The presidential area. Building of early 1960's ver ...                        ,10
137,1350,2110476096,83,2,Platia Gkizi (Athens)," 23/12/2020 - GYZI, in a quiet area and at a high point, penthouse apartment 7th, 83sq.m. gas fireplace, large opening on the whole side of the terrace with unob ...                        ",16.26506024
138,1800,2110464711,107,2,Kolonaki (Kolonaki - Lykavittos)," 23/12/2020 - KOLONAKI, Apartment 107 sq.m., furnished 4th floor, luxurious, for investment, at residential area, year of construction 1970, reconstructed in 202 ...                        ",16.82242991
139,3300,2110390109,200,4,Kallimarmaro (Athens)," 23/12/2020 - METS, Maisonette 200 sq.m., furnished, painted, 3 levels, 2nd floor, penthouse, luxurious, for investment, at residential area, year of constructio ...                        ",16.5
